Rank,Type,Business,Rating,Address,Distance From Home,Date of Ranking
7,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-21
9,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-21
14,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-21
6,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-21
19,Mediterranean,Almarah Mediterranean Cuisine,4.0,12129 Ranch Rd 620 N,2.665522450585699,2023-03-21
10,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-21
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-21
3,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-21
18,Bars,Knotty Deck & Bar,4.0,9721 Arboretum Blvd,3.587634571608161,2023-03-21
15,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-21
17,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-21
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-21
13,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7361920955433936,2023-03-21
16,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-21
20,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-21
4,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-21
12,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-21
8,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-21
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-21
11,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-21
8,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-22
10,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-03-22
13,Sandwiches,Big City Bagels and Subs,4.5,10401 Anderson Mill Rd,1.5236783572714638,2023-03-22
14,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-22
15,Korean,Chi'Lantro BBQ,4.5,12129 N Fm 620,2.684675694652655,2023-03-22
9,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-22
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-22
4,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-22
20,Bars,Knotty Deck & Bar,4.0,9721 Arboretum Blvd,3.587634571608161,2023-03-22
16,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-22
18,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-22
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-22
12,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7361920955433936,2023-03-22
17,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-22
11,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-22
3,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-22
7,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-22
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-22
19,American (Traditional),The Bunker Bar And Grille,4.5,4616 Rimrock Dr,13.094171642500552,2023-03-22
6,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-22
16,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-23
17,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-23
5,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-23
15,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-23
20,Korean,Chi'Lantro BBQ,4.5,12129 N Fm 620,2.684675694652655,2023-03-23
11,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-23
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-23
10,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.1738981059748954,2023-03-23
9,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-23
14,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-23
19,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-23
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-23
8,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7361920955433936,2023-03-23
7,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-23
18,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-23
12,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-23
6,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-23
13,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-23
3,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-23
4,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-23
17,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-24
3,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-24
16,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-03-24
20,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-24
6,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-24
12,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-24
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-24
11,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.1738981059748954,2023-03-24
8,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-24
15,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-24
19,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-24
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-24
10,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7361920955433936,2023-03-24
9,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-24
18,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-24
14,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-24
7,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-24
13,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-24
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-24
4,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-24
9,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-25
10,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-03-25
14,Sandwiches,Big City Bagels and Subs,4.5,10401 Anderson Mill Rd,1.5236783572714638,2023-03-25
16,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-25
20,Barbeque,Interstellar BBQ,4.5,12233 Ranch Rd 620 N,2.611559630018847,2023-03-25
7,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-25
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-25
15,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.1738981059748954,2023-03-25
6,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-25
19,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-25
17,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-25
3,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-25
13,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-25
18,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-25
12,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-25
11,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-25
4,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-25
8,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-25
2,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-25
5,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-25
5,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-26
11,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-26
15,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-26
6,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-26
19,Barbeque,Interstellar BBQ,4.5,12233 Ranch Rd 620 N,2.611559630018847,2023-03-26
18,Mediterranean,Almarah Mediterranean Cuisine,4.0,12129 Ranch Rd 620 N,2.665522450585699,2023-03-26
12,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-26
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-26
10,Ramen,Ramen Tatysu-Ya,4.5,14028 N US Hwy 183,3.16618429957081,2023-03-26
4,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-26
17,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-26
20,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-26
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-26
13,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-26
16,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-26
14,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-26
9,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-26
7,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-26
3,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-26
8,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-26
13,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-27
18,Asian Fusion,Fat Dragon,4.0,8650 Spicewood Springs Rd,0.867308465024,2023-03-27
19,Vietnamese,V Cafe,4.5,10700 Anderson Mill Rd,1.7691262654290285,2023-03-27
16,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-27
4,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-27
17,Korean,Chi'Lantro BBQ,4.5,12129 N Fm 620,2.684675694652655,2023-03-27
9,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-27
2,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-27
7,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-03-27
10,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-27
12,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-27
15,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-27
1,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-27
8,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-27
6,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-27
14,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-27
20,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-27
11,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-27
3,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-27
5,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-27
17,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-28
3,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-28
20,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-28
6,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-28
15,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-28
12,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-28
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-28
9,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-03-28
11,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-28
16,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-28
19,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-28
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-28
10,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-28
8,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-28
18,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-28
13,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-28
7,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-28
14,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-28
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-28
4,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-28
18,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-29
3,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-29
20,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-29
6,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-29
15,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-29
12,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-29
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-29
10,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-03-29
11,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-29
16,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-29
19,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-29
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-29
9,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-29
8,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-29
17,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-29
13,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-29
7,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-29
14,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-29
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-29
4,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-29
18,Asian Fusion,Fat Dragon,4.0,8650 Spicewood Springs Rd,0.867308465024,2023-03-30
14,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-30
13,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-03-30
17,Vietnamese,V Cafe,4.5,10700 Anderson Mill Rd,1.7691262654290285,2023-03-30
16,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-30
6,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-30
7,Barbeque,Interstellar BBQ,4.5,12233 Ranch Rd 620 N,2.611559630018847,2023-03-30
20,Korean,Chi'Lantro BBQ,4.5,12129 N Fm 620,2.684675694652655,2023-03-30
15,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-30
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-30
9,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-03-30
8,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-30
3,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-30
10,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-30
11,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-30
19,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-30
4,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-30
12,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-30
2,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-30
5,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-30
19,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-31
16,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-03-31
14,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-03-31
20,Salad,Fresh Heim,4.5,13776 N Highway 183,2.047684161114506,2023-03-31
5,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-31
7,Barbeque,Interstellar BBQ,4.5,12233 Ranch Rd 620 N,2.611559630018847,2023-03-31
12,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-31
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-31
11,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-03-31
8,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-31
17,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-31
18,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-03-31
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-31
10,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-03-31
9,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-03-31
15,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-31
6,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-31
13,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-31
3,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-31
4,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-31
8,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960051,2023-04-01
9,Mexican,Taqueria Jessica,5.0,7221 McNeil Dr,1.200647125003746,2023-04-01
13,Sandwiches,Big City Bagels and Subs,4.5,10401 Anderson Mill Rd,1.5236783572714638,2023-04-01
14,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-04-01
18,Barbeque,Interstellar BBQ,4.5,12233 Ranch Rd 620 N,2.611559630018847,2023-04-01
6,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-04-01
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-04-01
12,Ramen,Ramen Tatysu-Ya,4.0,14028 N US Hwy 183,3.16618429957081,2023-04-01
4,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-04-01
20,Bars,Knotty Deck & Bar,4.0,9721 Arboretum Blvd,3.587634571608161,2023-04-01
19,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-04-01
15,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.669565526131693,2023-04-01
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-04-01
16,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7362211978579225,2023-04-01
17,Thai,Green Mango,4.5,8300 N Fm 620,3.78916662125804,2023-04-01
11,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-04-01
5,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-04-01
7,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-04-01
3,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-04-01
10,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-04-01
